Date,Adj Close
2010-06-01,24.448591
2010-07-01,25.349712
2010-08-01,23.720413
2010-09-01,24.992546
2010-10-01,23.673775
2010-11-01,22.519850
2010-12-01,24.992546
2011-01-01,24.809383
2011-02-01,26.173946
2011-03-01,25.981625
2011-04-01,23.444820
2011-05-01,22.172152
2011-06-01,21.831608
2011-07-01,21.629122
2011-08-01,19.144073
2011-09-01,17.579414
2011-10-01,19.861977
2011-11-01,20.294558
2011-12-01,19.779142
2012-01-01,22.613935
2012-02-01,22.374636
2012-03-01,21.491064
2012-04-01,19.595064
2012-05-01,17.607023
2012-06-01,16.797083
2012-07-01,17.947569
2012-08-01,19.107258
2012-09-01,20.589085
2012-10-01,19.144073
2012-11-01,17.174442
2012-12-01,17.965977
2013-01-01,16.640617
2013-02-01,15.287648
2013-03-01,16.953550
2013-04-01,18.490599
2013-05-01,18.813084
2013-06-01,15.164884
2013-07-01,15.277425
2013-08-01,15.933912
2013-09-01,17.218754
2013-10-01,19.028788
2013-11-01,17.931515
2013-12-01,16.018318
2014-01-01,13.786257
2014-02-01,12.745255
2014-03-01,14.799125
2014-04-01,15.530641
2014-05-01,16.690001
2014-06-01,17.290001
2014-07-01,19.100000
2014-08-01,23.360001
2014-09-01,18.090000
2014-10-01,15.280000
2014-11-01,12.840000
2014-12-01,10.030000
2015-01-01,8.300000
2015-02-01,9.550000
2015-03-01,9.660000
2015-04-01,12.580000
2015-05-01,12.670000
2015-06-01,12.570000
2015-07-01,9.510000
2015-08-01,7.900000
2015-09-01,6.970000
2015-10-01,7.950000
2015-11-01,7.670000
2015-12-01,6.700000
2016-01-01,4.840000
2016-02-01,5.140000
2016-03-01,8.310000
2016-04-01,10.230000
2016-05-01,8.040000
2016-06-01,9.420000
2016-07-01,11.870000
2016-08-01,12.850000
2016-09-01,13.570000
2016-10-01,17.690001
2016-11-01,16.000000
2016-12-01,14.870000
2017-01-01,15.020000
2017-02-01,15.180000
2017-03-01,14.490000
2017-04-01,13.970000
2017-05-01,12.960000
2017-06-01,12.370000
2017-07-01,13.290000
2017-08-01,13.650000
2017-09-01,15.300000
2017-10-01,16.770000
2017-11-01,15.380000
2017-12-01,16.100000
2018-01-01,16.549999
2018-02-01,21.459999
2018-03-01,21.410000
2018-04-01,22.969999
2018-05-01,25.440001
