Date,Adj Close
2010-06-01,8.460879
2010-07-01,10.518917
2010-08-01,9.887236
2010-09-01,10.811868
2010-10-01,11.109988
2010-11-01,11.366870
2010-12-01,10.825589
2011-01-01,12.403555
2011-02-01,12.853091
2011-03-01,12.385206
2011-04-01,11.339345
2011-05-01,11.476958
2011-06-01,10.917329
2011-07-01,10.265962
2011-08-01,9.265972
2011-09-01,10.779718
2011-10-01,10.957587
2011-11-01,10.458258
2011-12-01,10.874366
2012-01-01,11.151771
2012-02-01,11.836046
2012-03-01,13.537478
2012-04-01,15.201923
2012-05-01,13.269317
2012-06-01,12.353868
2012-07-01,12.222253
2012-08-01,13.022187
2012-09-01,12.659427
2012-10-01,13.277215
2012-11-01,12.258048
2012-12-01,13.510970
2013-01-01,15.430315
2013-02-01,15.683574
2013-03-01,16.649723
2013-04-01,16.522362
2013-05-01,18.364449
2013-06-01,19.237112
2013-07-01,18.312897
2013-08-01,18.577208
2013-09-01,16.821432
2013-10-01,15.468010
2013-11-01,17.161451
2013-12-01,17.870989
2014-01-01,17.483341
2014-02-01,19.917131
2014-03-01,19.242128
2014-04-01,18.376146
2014-05-01,19.513102
2014-06-01,19.312233
2014-07-01,20.664278
2014-08-01,20.875238
2014-09-01,23.157417
2014-10-01,23.053595
2014-11-01,22.717257
2014-12-01,23.486029
2015-01-01,22.932636
2015-02-01,24.053185
2015-03-01,23.715090
2015-04-01,22.737251
2015-05-01,23.108088
2015-06-01,22.711004
2015-07-01,23.185465
2015-08-01,24.213774
2015-09-01,25.275496
2015-10-01,27.481392
2015-11-01,29.541529
2015-12-01,29.337456
2016-01-01,27.986956
2016-02-01,29.388248
2016-03-01,23.208933
2016-04-01,20.051889
2016-05-01,18.326473
2016-06-01,17.059217
2016-07-01,14.488846
2016-08-01,14.000348
2016-09-01,13.687710
2016-10-01,16.778412
2016-11-01,16.210978
2016-12-01,15.653330
2017-01-01,17.609997
2017-02-01,17.541513
2017-03-01,17.013212
2017-04-01,15.059067
2017-05-01,15.799345
2017-06-01,14.930923
2017-07-01,15.602279
2017-08-01,17.739305
2017-09-01,17.699730
2017-10-01,15.536827
2017-11-01,15.219547
2017-12-01,19.830029
2018-01-01,20.547554
2018-02-01,21.673040
2018-03-01,21.463879
2018-04-01,22.072723
2018-05-01,22.360001
