Date,Adj Close
2010-06-01,10.606637
2010-07-01,11.252260
2010-08-01,11.372160
2010-09-01,13.281354
2010-10-01,13.317109
2010-11-01,12.992152
2010-12-01,12.534143
2011-01-01,11.141461
2011-02-01,11.791383
2011-03-01,11.847088
2011-04-01,10.528544
2011-05-01,10.450323
2011-06-01,9.937141
2011-07-01,11.383390
2011-08-01,11.663308
2011-09-01,10.496975
2011-10-01,10.077099
2011-11-01,11.756615
2011-12-01,12.101850
2012-01-01,13.529437
2012-02-01,15.600838
2012-03-01,16.561899
2012-04-01,19.366753
2012-05-01,17.584713
2012-06-01,19.093325
2012-07-01,22.125334
2012-08-01,20.423386
2012-09-01,22.021332
2012-10-01,21.173834
2012-11-01,19.894876
2012-12-01,21.855944
2013-01-01,21.079094
2013-02-01,21.619101
2013-03-01,20.179089
2013-04-01,20.577610
2013-05-01,21.781363
2013-06-01,20.378563
2013-07-01,18.330572
2013-08-01,16.032131
2013-09-01,17.409298
2013-10-01,15.590845
2013-11-01,16.066183
2013-12-01,14.050774
2014-01-01,13.850853
2014-02-01,15.757373
2014-03-01,18.712475
2014-04-01,18.135628
2014-05-01,18.135628
2014-06-01,17.410204
2014-07-01,18.171061
2014-08-01,20.968082
2014-09-01,20.058096
2014-10-01,21.613565
2014-11-01,23.477961
2014-12-01,24.362114
2015-01-01,24.917564
2015-02-01,27.471981
2015-03-01,27.693197
2015-04-01,33.106602
2015-05-01,34.562469
2015-06-01,35.086590
2015-07-01,42.347599
2015-08-01,40.138245
2015-09-01,37.520107
2015-10-01,40.825798
2015-11-01,38.707382
2015-12-01,34.636513
2016-01-01,40.628170
2016-02-01,45.065144
2016-03-01,51.108440
2016-04-01,54.060863
2016-05-01,56.712837
2016-06-01,62.016769
2016-07-01,65.259567
2016-08-01,58.761173
2016-09-01,65.259567
2016-10-01,69.925430
2016-11-01,63.639439
2016-12-01,60.382969
2017-01-01,64.805145
2017-02-01,58.769855
2017-03-01,58.047604
2017-04-01,66.914452
2017-05-01,71.428345
2017-06-01,69.553352
2017-07-01,68.592766
2017-08-01,68.940697
2017-09-01,74.557350
2017-10-01,77.912415
2017-11-01,87.665169
2017-12-01,91.450714
2018-01-01,90.266426
2018-02-01,77.582222
2018-03-01,74.648193
2018-04-01,68.779999
2018-05-01,69.599998
